g1(638.0, 680.0)@[1.977518182E10, 1.9775181929E10]
g1(489.0, 366.0)@[5.1523460824E10, 5.1523460922E10]
g1(507.0, 911.0)@[2.4735612632E10, 2.473561273E10]
g1(960.0, 7.0)@[4.4308815221E10, 4.43088153E10]
g1(556.0, 312.0)@[6.1933765904E10, 6.193376599E10]
g1(359.0, 262.0)@[5.8030941338E10, 5.8030941435E10]
g1(378.0, 583.0)@[5.4858472756E10, 5.4858472851E10]
g1(848.0, 805.0)@[3.8182558681E10, 3.8182558782E10]
g1(520.0, 557.0)@[2.594593134E10, 2.5945931421E10]
g1(933.0, 271.0)@[8.61746641E9, 8.617466488E9]
g1(66.0, 87.0)@[1.3298681185E10, 1.3298681262E10]
g1(681.0, 934.0)@[1.1229225958E10, 1.1229226053E10]
g1(928.0, 730.0)@[1.4923652012E10, 1.4923652092E10]
g1(588.0, 395.0)@[3.5407273191E10, 3.5407273303E10]
g1(108.0, 200.0)@[9.893884463E9, 9.893884549E9]
g1(780.0, 365.0)@[4.482924557E10, 4.4829245668E10]
g1(582.0, 896.0)@[2.9501852984E10, 2.9501853072E10]
g1(593.0, 845.0)@[4.5928909083E10, 4.5928909158E10]
g1(283.0, 400.0)@[3.7865575989E10, 3.7865576083E10]
g1(814.0, 29.0)@[1.822222663E10, 1.8222226733E10]
g1(657.0, 255.0)@[5.787251245E10, 5.787251252E10]
g1(402.0, 322.0)@[1.2627043298E10, 1.2627043391E10]
g1(349.0, 187.0)@[5.7599947175E10, 5.7599947279E10]
g1(952.0, 987.0)@[1.2888961235E10, 1.2888961314E10]
g1(225.0, 677.0)@[2.2697649253E10, 2.2697649353E10]
g1(113.0, 285.0)@[2.0006810348E10, 2.0006810433E10]
g1(98.0, 569.0)@[5.6962353708E10, 5.6962353793E10]
g1(694.0, 832.0)@[3.1563614188E10, 3.1563614288E10]
g1(456.0, 535.0)@[5.9985043177E10, 5.9985043269E10]
g1(444.0, 218.0)@[4.3269859643E10, 4.3269859732E10]
g1(406.0, 255.0)@[4.9634191331E10, 4.9634191427E10]
g1(981.0, 136.0)@[1.1027040334E10, 1.1027040438E10]
g1(590.0, 537.0)@[5.383678962E9, 5.383679056E9]
g1(579.0, 317.0)@[8.180208487E9, 8.18020858E9]
g1(92.0, 638.0)@[3.9029385302E10, 3.902938538E10]
g1(513.0, 410.0)@[6.0686819072E10, 6.0686819155E10]
g1(501.0, 221.0)@[5.5307779957E10, 5.5307780048E10]
g1(412.0, 467.0)@[2.951175445E9, 2.951175539E9]
g1(615.0, 365.0)@[1.0882659942E10, 1.0882660038E10]
g1(530.0, 116.0)@[4.671902082E9, 4.671902193E9]
g1(46.0, 277.0)@[8.220526204E9, 8.220526286E9]
g1(935.0, 737.0)@[2.98038717E10, 2.9803871811E10]
g1(402.0, 939.0)@[2.5368215532E10, 2.536821561E10]
g1(641.0, 314.0)@[2.951441095E9, 2.951441159E9]
g1(277.0, 977.0)@[4.7420940453E10, 4.7420940549E10]
g1(85.0, 53.0)@[4.9582659846E10, 4.9582659947E10]
g1(350.0, 580.0)@[5.5651589347E10, 5.5651589436E10]
g1(167.0, 901.0)@[3.9755709626E10, 3.9755709719E10]
g1(185.0, 444.0)@[4.836324583E9, 4.836324689E9]
g1(821.0, 860.0)@[1.344694567E10, 1.3446945758E10]
g1(310.0, 876.0)@[5.7289885052E10, 5.7289885151E10]
g1(933.0, 346.0)@[5.0069310946E10, 5.0069311027E10]
g1(347.0, 749.0)@[4.942709489E9, 4.942709572E9]
g1(65.0, 903.0)@[2.6155300873E10, 2.6155300964E10]
g1(368.0, 829.0)@[4.642116577E9, 4.642116651E9]
g1(73.0, 637.0)@[3.3358032543E10, 3.3358032631E10]
g1(951.0, 370.0)@[3.850133875E10, 3.8501338824E10]
g1(154.0, 15.0)@[6.2547705525E10, 6.2547705606E10]
g1(570.0, 121.0)@[5.0822492952E10, 5.0822493039E10]
g1(105.0, 917.0)@[2.0957735496E10, 2.095773557E10]
g1(818.0, 783.0)@[4.2608806632E10, 4.2608806716E10]
g1(456.0, 665.0)@[5.3372269958E10, 5.3372270041E10]
g1(2.0, 458.0)@[1.666921349E9, 1.66692146E9]
g1(863.0, 571.0)@[3.2643790644E10, 3.2643790759E10]
g1(0.0, 336.0)@[4.0862614301E10, 4.0862614409E10]
g1(18.0, 418.0)@[1.5755539342E10, 1.5755539423E10]
g1(405.0, 434.0)@[2.8304597122E10, 2.8304597218E10]
g1(980.0, 350.0)@[5.5435696902E10, 5.5435697E10]
g1(931.0, 387.0)@[3.065400387E9, 3.065400467E9]
g1(571.0, 667.0)@[6.2310275757E10, 6.2310275861E10]
g1(410.0, 601.0)@[4.360657321E10, 4.3606573293E10]
g1(776.0, 704.0)@[5.1381990075E10, 5.1381990176E10]
g1(371.0, 500.0)@[3.2699316249E10, 3.2699316338E10]
g1(377.0, 317.0)@[2.4532309323E10, 2.4532309422E10]
g1(587.0, 604.0)@[6.0198605373E10, 6.0198605463E10]
g1(101.0, 18.0)@[2.3654129927E10, 2.3654130014E10]
g1(209.0, 261.0)@[4.419384588E9, 4.419384652E9]
g1(474.0, 561.0)@[1.400370673E9, 1.40037077E9]
g1(326.0, 399.0)@[4.9705038048E10, 4.9705038126E10]
g1(176.0, 286.0)@[5.4890975903E10, 5.4890976E10]
g1(595.0, 26.0)@[4.4089816052E10, 4.4089816148E10]
g1(513.0, 608.0)@[4.0283418723E10, 4.0283418808E10]
g1(4.0, 940.0)@[2.313404603E10, 2.3134046118E10]
g1(806.0, 685.0)@[1.6997211819E10, 1.6997211918E10]
g1(163.0, 682.0)@[4.422058346E9, 4.422058434E9]
g1(374.0, 602.0)@[4.57824574E10, 4.578245749E10]
g1(461.0, 275.0)@[7.105230471E9, 7.105230548E9]
g1(806.0, 707.0)@[4.0573305845E10, 4.0573305917E10]
g1(66.0, 204.0)@[4.0237999159E10, 4.0237999252E10]
g1(774.0, 821.0)@[5.50817527E8, 5.50817611E8]
g1(987.0, 382.0)@[7.924913544E9, 7.924913652E9]
g1(578.0, 974.0)@[3.5610789506E10, 3.5610789589E10]
g1(518.0, 536.0)@[3.8066976966E10, 3.806697706E10]
g1(701.0, 721.0)@[3.1949981203E10, 3.19499813E10]
g1(298.0, 945.0)@[1.8875342873E10, 1.8875342977E10]
g1(475.0, 839.0)@[5.3101370864E10, 5.3101370943E10]
g1(116.0, 234.0)@[3.779115885E10, 3.7791158915E10]
g1(435.0, 865.0)@[2.5193331081E10, 2.5193331182E10]
g1(213.0, 730.0)@[1.5783030662E10, 1.5783030768E10]
g1(655.0, 789.0)@[3.5375527407E10, 3.5375527471E10]
g1(911.0, 217.0)@[4.3626891909E10, 4.3626891989E10]
g1(534.0, 984.0)@[5.8255109599E10, 5.8255109696E10]
g1(991.0, 668.0)@[8.84665523E9, 8.846655302E9]
g1(352.0, 884.0)@[3.4444443962E10, 3.4444444054E10]
g1(657.0, 2.0)@[5.613276034E10, 5.6132760426E10]
g1(367.0, 112.0)@[3.6807333301E10, 3.68073334E10]
g1(135.0, 686.0)@[5.0256677152E10, 5.0256677244E10]
g1(693.0, 333.0)@[4.5417043139E10, 4.5417043214E10]
g1(851.0, 11.0)@[1.4787979987E10, 1.4787980068E10]
g1(231.0, 445.0)@[3.990276452E9, 3.990276551E9]
g1(368.0, 755.0)@[9.5355117E8, 9.53551262E8]
g1(320.0, 15.0)@[3.0115504879E10, 3.011550498E10]
g1(303.0, 744.0)@[4.7412215663E10, 4.7412215742E10]
g1(503.0, 732.0)@[3.7949034445E10, 3.7949034541E10]
g1(858.0, 313.0)@[3.4207121752E10, 3.4207121868E10]
g1(173.0, 796.0)@[5.6227659129E10, 5.6227659215E10]
g1(834.0, 843.0)@[2.4553793395E10, 2.4553793482E10]
g1(991.0, 40.0)@[3.9863366631E10, 3.986336674E10]
g1(341.0, 692.0)@[4.0956664917E10, 4.0956665032E10]
g1(435.0, 945.0)@[3.5372367574E10, 3.537236769E10]
g1(944.0, 560.0)@[4.7762449217E10, 4.776244931E10]
g1(49.0, 631.0)@[3.382624778E9, 3.382624874E9]
g1(373.0, 459.0)@[4.1692630666E10, 4.1692630754E10]
g1(627.0, 531.0)@[3.3014316625E10, 3.3014316716E10]
g1(551.0, 553.0)@[4.0294228919E10, 4.0294229001E10]
g1(409.0, 406.0)@[6.417487179E9, 6.417487274E9]
g1(593.0, 529.0)@[6.0384232619E10, 6.0384232727E10]
g1(549.0, 932.0)@[5.0755736097E10, 5.0755736193E10]
g1(229.0, 710.0)@[2.9713215256E10, 2.9713215352E10]
g1(662.0, 742.0)@[4.3072131196E10, 4.307213129E10]
g1(116.0, 912.0)@[5.9087882431E10, 5.9087882528E10]
g1(46.0, 882.0)@[3.1904557824E10, 3.1904557918E10]
g1(166.0, 444.0)@[5.892148612E10, 5.8921486218E10]
g1(401.0, 118.0)@[2.2799588324E10, 2.2799588429E10]
g1(144.0, 632.0)@[7.17526952E8, 7.17527041E8]
g1(42.0, 187.0)@[3.610775644E9, 3.610775735E9]
g1(622.0, 221.0)@[4.300400006E10, 4.3004000133E10]
g1(42.0, 620.0)@[3.7735360651E10, 3.7735360731E10]
g1(356.0, 62.0)@[6.0008844473E10, 6.0008844564E10]
g1(845.0, 113.0)@[6.404301518E9, 6.404301593E9]
g1(459.0, 935.0)@[5.0049743588E10, 5.0049743647E10]
g1(924.0, 744.0)@[3.832789513E9, 3.832789584E9]
g1(982.0, 872.0)@[4.1267716146E10, 4.1267716235E10]
g1(736.0, 597.0)@[1.2987161296E10, 1.2987161378E10]
g1(299.0, 418.0)@[5.9510079921E10, 5.9510079994E10]
g1(265.0, 337.0)@[3.7093617214E10, 3.70936173E10]
g1(382.0, 32.0)@[9.043312014E9, 9.043312108E9]
g1(152.0, 651.0)@[5.1015636018E10, 5.1015636129E10]
g1(528.0, 898.0)@[1.3418002467E10, 1.3418002562E10]
g1(203.0, 303.0)@[1.816543122E10, 1.8165431299E10]
g1(776.0, 661.0)@[5.6248907269E10, 5.6248907381E10]
g1(606.0, 465.0)@[2.4983538522E10, 2.4983538605E10]
g1(952.0, 536.0)@[3.0448692517E10, 3.0448692613E10]
g1(109.0, 546.0)@[2.6440646764E10, 2.6440646875E10]
g1(137.0, 669.0)@[4.9335905285E10, 4.9335905365E10]
g1(62.0, 660.0)@[2.0557845361E10, 2.0557845461E10]
g1(828.0, 601.0)@[3.30619475E9, 3.306194845E9]
g1(546.0, 257.0)@[2.4876057228E10, 2.4876057331E10]
g1(277.0, 417.0)@[2.0711667705E10, 2.0711667801E10]
g1(191.0, 686.0)@[4.3858002082E10, 4.385800218E10]
g1(781.0, 246.0)@[4.124625659E9, 4.124625759E9]
g1(835.0, 485.0)@[3.599670609E10, 3.5996706191E10]
g1(525.0, 982.0)@[8.725340795E9, 8.725340872E9]
g1(797.0, 657.0)@[4.309042466E10, 4.3090424734E10]
g1(776.0, 362.0)@[1.6981694264E10, 1.6981694363E10]
g1(892.0, 761.0)@[2.4502844882E10, 2.4502844942E10]
g1(7.0, 61.0)@[5.5627276472E10, 5.5627276574E10]
g1(307.0, 485.0)@[2.5174891904E10, 2.5174891985E10]
g1(243.0, 161.0)@[2.57264536E9, 2.572645463E9]
g1(623.0, 652.0)@[5.673813062E10, 5.6738130723E10]
g1(343.0, 438.0)@[3.308082322E10, 3.3080823313E10]
g1(35.0, 367.0)@[3.082189681E10, 3.0821896897E10]
g1(447.0, 938.0)@[1.1258570859E10, 1.1258570954E10]
g1(121.0, 578.0)@[3.9142938774E10, 3.9142938844E10]
g1(340.0, 585.0)@[5.4531945974E10, 5.4531946066E10]
g1(585.0, 87.0)@[2.6553447823E10, 2.6553447942E10]
g1(744.0, 714.0)@[2.6010002662E10, 2.6010002757E10]
g1(654.0, 543.0)@[4.9288727941E10, 4.928872802E10]
g1(138.0, 886.0)@[4.896962687E9, 4.896962773E9]
g1(889.0, 184.0)@[5.985921953E9, 5.985922046E9]
g1(923.0, 682.0)@[4.6823325658E10, 4.682332575E10]
g1(112.0, 869.0)@[1.7430973722E10, 1.7430973802E10]
g1(374.0, 244.0)@[3.0, 80.0]
g1(973.0, 628.0)@[8.524371166E9, 8.524371239E9]
g1(285.0, 359.0)@[8.039573181E9, 8.03957329E9]
g1(306.0, 54.0)@[4.3848205395E10, 4.3848205501E10]
g1(471.0, 965.0)@[1.0829744045E10, 1.0829744124E10]
g1(60.0, 997.0)@[2.1535989936E10, 2.1535990004E10]
g1(906.0, 128.0)@[5.1455992165E10, 5.1455992226E10]
g1(640.0, 449.0)@[1.1277563442E10, 1.1277563534E10]
g1(37.0, 482.0)@[4.3464526032E10, 4.3464526107E10]
g1(955.0, 59.0)@[6.28085062E9, 6.280850717E9]
g1(319.0, 991.0)@[6.984334671E9, 6.984334757E9]
g1(864.0, 25.0)@[4.6055738791E10, 4.6055738862E10]
g1(464.0, 687.0)@[2.6737432764E10, 2.6737432859E10]
g1(423.0, 555.0)@[4.1849163706E10, 4.184916379E10]
g1(17.0, 645.0)@[3.8224232473E10, 3.8224232572E10]
g1(600.0, 661.0)@[9.554443508E9, 9.554443604E9]
g1(688.0, 640.0)@[5.4919398678E10, 5.4919398767E10]
g1(690.0, 96.0)@[4.2735558272E10, 4.2735558371E10]
g1(724.0, 45.0)@[2.7668015684E10, 2.7668015771E10]
g1(223.0, 438.0)@[2.5392793234E10, 2.5392793304E10]
g1(123.0, 835.0)@[1.5823772415E10, 1.5823772501E10]
g1(403.0, 494.0)@[6.15393873E8, 6.15393957E8]
g1(302.0, 17.0)@[2.5162181926E10, 2.5162182022E10]
g1(527.0, 562.0)@[2.8965317677E10, 2.8965317788E10]
g1(384.0, 756.0)@[3.2329522109E10, 3.2329522194E10]
g1(21.0, 473.0)@[4.3499526367E10, 4.3499526444E10]
g1(674.0, 212.0)@[4.5651443813E10, 4.5651443897E10]
g1(69.0, 231.0)@[1.4895752818E10, 1.4895752926E10]
g1(20.0, 673.0)@[5.5929377249E10, 5.5929377343E10]
g1(633.0, 894.0)@[2.8266855294E10, 2.826685539E10]
g1(334.0, 244.0)@[4.2870049256E10, 4.2870049342E10]
g1(645.0, 163.0)@[2.3199556507E10, 2.3199556599E10]
g1(11.0, 218.0)@[3.1317982678E10, 3.1317982776E10]
g1(302.0, 525.0)@[4.0442049419E10, 4.0442049484E10]
g1(590.0, 270.0)@[5.9559661979E10, 5.9559662049E10]
g1(844.0, 647.0)@[4.432718659E9, 4.432718748E9]
g1(713.0, 497.0)@[2.9437568335E10, 2.9437568403E10]
g1(782.0, 709.0)@[5.3646030053E10, 5.3646030126E10]
g1(527.0, 199.0)@[5.3045262519E10, 5.3045262614E10]
g1(39.0, 126.0)@[4.891227882E10, 4.8912278935E10]
g1(656.0, 321.0)@[6.1044857133E10, 6.104485723E10]
g1(930.0, 754.0)@[3.340187297E10, 3.3401873047E10]
g1(152.0, 485.0)@[3.9913070771E10, 3.9913070866E10]
g1(959.0, 216.0)@[4.9523260324E10, 4.9523260431E10]
g1(117.0, 169.0)@[1.9810327554E10, 1.9810327615E10]
g1(450.0, 761.0)@[6.2854398314E10, 6.2854398401E10]
g1(152.0, 469.0)@[3.246116091E9, 3.246116195E9]
g1(857.0, 62.0)@[3.6615029254E10, 3.6615029346E10]
g1(938.0, 638.0)@[1.6964744475E10, 1.6964744565E10]
g1(396.0, 440.0)@[5.5844134748E10, 5.5844134837E10]
g1(97.0, 796.0)@[2.9483437102E10, 2.9483437206E10]
g1(30.0, 195.0)@[2.263419479E9, 2.263419546E9]
g1(622.0, 21.0)@[1.977448353E10, 1.9774483631E10]
g1(735.0, 510.0)@[8.252245539E9, 8.252245611E9]
g1(562.0, 814.0)@[5.1540226606E10, 5.1540226703E10]
g1(47.0, 599.0)@[1.2151041265E10, 1.2151041341E10]
g1(296.0, 569.0)@[2.9942403199E10, 2.9942403298E10]
g1(355.0, 173.0)@[2.1023260975E10, 2.1023261069E10]
g1(600.0, 699.0)@[4.31456924E9, 4.314569339E9]
g1(180.0, 690.0)@[4.6650217296E10, 4.6650217396E10]
g1(925.0, 948.0)@[3.1124366132E10, 3.1124366238E10]
g1(978.0, 740.0)@[3.0856622198E10, 3.0856622287E10]
g1(875.0, 404.0)@[2.6581841639E10, 2.6581841753E10]
g1(396.0, 511.0)@[7.891377442E9, 7.891377544E9]
g1(568.0, 977.0)@[5.5431912488E10, 5.5431912591E10]
g1(951.0, 11.0)@[1.3408127302E10, 1.340812739E10]
g1(30.0, 218.0)@[2.623464521E9, 2.623464598E9]
g1(985.0, 452.0)@[5.697246963E10, 5.6972469725E10]
g1(407.0, 489.0)@[5.1233260652E10, 5.1233260742E10]
g1(952.0, 757.0)@[1.8568601968E10, 1.8568602049E10]
g1(166.0, 735.0)@[1.684153769E10, 1.6841537793E10]
g1(328.0, 675.0)@[1.0863604759E10, 1.0863604865E10]
g1(536.0, 858.0)@[4.6964647844E10, 4.6964647925E10]
g1(874.0, 758.0)@[2.333970169E10, 2.3339701801E10]
g1(85.0, 73.0)@[4.2995782021E10, 4.2995782127E10]
g1(287.0, 481.0)@[1.088636591E10, 1.0886366003E10]
g1(411.0, 278.0)@[3.1834750319E10, 3.1834750409E10]
g1(734.0, 391.0)@[5.1376913965E10, 5.1376914018E10]
g1(843.0, 568.0)@[1.0425797688E10, 1.0425797766E10]
g1(12.0, 0.0)@[2.4646967032E10, 2.4646967114E10]
g1(528.0, 233.0)@[2.9191554314E10, 2.9191554418E10]
g1(282.0, 393.0)@[3.188557331E9, 3.188557419E9]
g1(359.0, 158.0)@[9.870529029E9, 9.870529115E9]
g1(148.0, 750.0)@[2.9244661696E10, 2.9244661784E10]
g1(739.0, 127.0)@[3.6563677897E10, 3.6563677995E10]
g1(143.0, 774.0)@[2.6767442666E10, 2.6767442746E10]
g1(570.0, 597.0)@[5.0552996411E10, 5.0552996502E10]
g1(439.0, 624.0)@[6.949715331E9, 6.949715421E9]
g1(500.0, 28.0)@[1.34960932E9, 1.349609418E9]
g1(222.0, 456.0)@[3.626983381E9, 3.62698347E9]
g1(305.0, 63.0)@[4.4717196772E10, 4.4717196869E10]
g1(434.0, 915.0)@[3.9667323148E10, 3.9667323216E10]
g1(168.0, 400.0)@[1.669704223E9, 1.669704308E9]
g1(873.0, 645.0)@[5.1181519198E10, 5.1181519291E10]
g1(493.0, 685.0)@[3.6421936124E10, 3.6421936206E10]
g1(933.0, 820.0)@[6.461990223E9, 6.461990299E9]
g1(296.0, 821.0)@[1.0485370581E10, 1.0485370672E10]
g1(842.0, 261.0)@[4.8859300982E10, 4.8859301092E10]
g1(144.0, 609.0)@[5.5164869936E10, 5.5164870031E10]
g1(351.0, 569.0)@[4.0174972567E10, 4.0174972659E10]
g1(738.0, 343.0)@[2.0940173686E10, 2.0940173787E10]
g1(300.0, 268.0)@[1.1490996526E10, 1.1490996636E10]
g1(375.0, 275.0)@[1.30080674E8, 1.3008076E8]
g1(44.0, 917.0)@[4.0677631019E10, 4.067763112E10]
g1(637.0, 606.0)@[1.4285545894E10, 1.4285545994E10]
g1(337.0, 406.0)@[4.7893767317E10, 4.7893767391E10]
g1(840.0, 189.0)@[2.2643597295E10, 2.2643597373E10]
g1(825.0, 150.0)@[1.6821052265E10, 1.682105235E10]
g1(922.0, 112.0)@[3.4776298934E10, 3.4776299012E10]
g1(851.0, 452.0)@[9.654776193E9, 9.654776286E9]
g1(27.0, 252.0)@[4.6243148619E10, 4.6243148717E10]
g1(105.0, 11.0)@[5.420886374E9, 5.420886487E9]
