g1(872.0)@[4.576440971E9, 4.576441085E9]
g1(542.0)@[4.6314715839E10, 4.6314715943E10]
g1(95.0)@[1.5614803549E10, 1.5614803657E10]
g1(629.0)@[3.4801729862E10, 3.4801729974E10]
g1(370.0)@[6.145640979E10, 6.1456409904E10]
g1(506.0)@[2.2853495935E10, 2.2853496061E10]
g1(488.0)@[4.1793241179E10, 4.1793241288E10]
g1(761.0)@[4.9537571279E10, 4.953757137E10]
g1(67.0)@[4.2748505405E10, 4.2748505514E10]
g1(399.0)@[8.50947779E8, 8.50947912E8]
g1(750.0)@[2.1229200306E10, 2.1229200417E10]
g1(184.0)@[1.3997798899E10, 1.3997799029E10]
g1(658.0)@[4.3634614721E10, 4.3634614834E10]
g1(772.0)@[5.9561425326E10, 5.9561425427E10]
g1(767.0)@[5.8383052141E10, 5.838305224E10]
g1(168.0)@[3.4827708903E10, 3.4827709009E10]
g1(794.0)@[5.52496367E10, 5.5249636799E10]
g1(947.0)@[2.6355843287E10, 2.6355843418E10]
g1(783.0)@[1.004173251E9, 1.00417337E9]
g1(32.0)@[5.6716777497E10, 5.6716777615E10]
g1(247.0)@[3.526523462E10, 3.5265234713E10]
g1(352.0)@[3.522203594E9, 3.522203696E9]
g1(402.0)@[3.2380178566E10, 3.2380178687E10]
g1(911.0)@[5.0617421903E10, 5.0617422003E10]
g1(124.0)@[3.053798185E9, 3.053798293E9]
g1(369.0)@[3.1560233214E10, 3.1560233323E10]
g1(284.0)@[4.2869409231E10, 4.2869409341E10]
g1(947.0)@[5.1916592278E10, 5.1916592423E10]
g1(990.0)@[1.5170279154E10, 1.5170279273E10]
g1(658.0)@[4.1093015982E10, 4.1093016097E10]
g1(78.0)@[5.0352050512E10, 5.0352050644E10]
g3(587.0, 809.0)@[1.1738786295E10, 1.1738786333E10]
g3(866.0, 354.0)@[2.3448882066E10, 2.3448882109E10]
g3(874.0, 156.0)@[6.2567880753E10, 6.2567880806E10]
g3(408.0, 370.0)@[6.1456409795E10, 6.1456409909E10]
g3(793.0, 866.0)@[1.533288192E9, 1.533288239E9]
g3(426.0, 95.0)@[1.5614803554E10, 1.5614803648E10]
g3(878.0, 78.0)@[5.035205052E10, 5.0352050635E10]
g3(384.0, 990.0)@[1.5170279159E10, 1.5170279277E10]
g3(400.0, 658.0)@[4.1093015988E10, 4.1093016101E10]
g3(48.0, 805.0)@[5.5541100081E10, 5.5541100119E10]
g3(727.0, 410.0)@[8.834152667E9, 8.834152725E9]
g3(993.0, 975.0)@[1.6601665772E10, 1.6601665814E10]
g3(136.0, 352.0)@[3.522203594E9, 3.522203694E9]
g3(346.0, 761.0)@[4.9537571272E10, 4.953757137E10]
g3(447.0, 744.0)@[5.5973317661E10, 5.5973317705E10]
g3(596.0, 379.0)@[6.2024989318E10, 6.2024989364E10]
g3(731.0, 32.0)@[5.6716777499E10, 5.6716777612E10]
g3(509.0, 184.0)@[1.3997798892E10, 1.3997799024E10]
g3(723.0, 295.0)@[5.9544790429E10, 5.9544790467E10]
g3(884.0, 600.0)@[2.4803975E8, 2.48039804E8]
g3(594.0, 735.0)@[1.1636762784E10, 1.1636762853E10]
g3(267.0, 813.0)@[4.3930352718E10, 4.3930352764E10]
g3(200.0, 119.0)@[5.9752717334E10, 5.9752717397E10]
g3(357.0, 667.0)@[6.1573699887E10, 6.1573699924E10]
g3(1.0, 759.0)@[2.2967503623E10, 2.2967503664E10]
g3(310.0, 49.0)@[1.8260163337E10, 1.8260163388E10]
g3(23.0, 110.0)@[3.56311E7, 3.5631137E7]
g3(313.0, 124.0)@[3.053798184E9, 3.05379829E9]
g3(405.0, 543.0)@[4.5354440878E10, 4.5354440936E10]
g3(496.0, 938.0)@[5.5274977467E10, 5.5274977526E10]
g3(101.0, 772.0)@[5.9561425325E10, 5.9561425436E10]
g3(924.0, 842.0)@[3.5418842959E10, 3.5418843009E10]
g3(960.0, 22.0)@[3.6897431289E10, 3.6897431338E10]
g3(764.0, 499.0)@[4.7352561701E10, 4.7352561748E10]
g3(941.0, 700.0)@[4.4852101602E10, 4.4852101661E10]
g3(257.0, 34.0)@[5.4187053991E10, 5.4187054054E10]
g3(477.0, 947.0)@[2.6355843292E10, 2.6355843417E10]
g3(529.0, 171.0)@[4.6782708723E10, 4.6782708776E10]
g3(79.0, 174.0)@[2.5768237692E10, 2.5768237752E10]
g3(106.0, 947.0)@[3.198781359E10, 3.1987813651E10]
g3(764.0, 653.0)@[4.9300699173E10, 4.9300699219E10]
g3(542.0, 43.0)@[5.3722945092E10, 5.3722945142E10]
g3(369.0, 794.0)@[5.524963671E10, 5.5249636799E10]
g3(483.0, 767.0)@[5.8383052147E10, 5.8383052239E10]
g3(730.0, 247.0)@[3.5265234622E10, 3.5265234727E10]
g3(81.0, 911.0)@[5.0617421905E10, 5.0617422003E10]
g3(633.0, 750.0)@[2.1229200305E10, 2.1229200409E10]
g3(458.0, 783.0)@[1.004173247E9, 1.004173366E9]
g3(274.0, 658.0)@[4.3634614724E10, 4.3634614834E10]
g3(658.0, 247.0)@[3.0795520118E10, 3.0795520174E10]
g3(660.0, 506.0)@[2.285349594E10, 2.2853496053E10]
g3(655.0, 9.0)@[4.2584478421E10, 4.2584478463E10]
g3(737.0, 948.0)@[6.0275308149E10, 6.0275308194E10]
g3(50.0, 196.0)@[1.8094856163E10, 1.8094856205E10]
g3(55.0, 525.0)@[2.2113592991E10, 2.211359305E10]
g3(974.0, 374.0)@[3.6539404803E10, 3.6539404851E10]
g3(373.0, 542.0)@[4.6314715843E10, 4.6314715944E10]
g3(599.0, 399.0)@[8.50947781E8, 8.50947917E8]
g3(553.0, 369.0)@[3.1560233212E10, 3.1560233325E10]
g3(118.0, 947.0)@[5.1916592281E10, 5.191659242E10]
g3(725.0, 376.0)@[0.0, 39.0]
g3(518.0, 793.0)@[5.379760988E9, 5.379761047E9]
g3(904.0, 872.0)@[4.576440965E9, 4.576441088E9]
g3(329.0, 671.0)@[7.288897192E9, 7.288897244E9]
g3(157.0, 488.0)@[4.1793241182E10, 4.179324129E10]
g3(367.0, 205.0)@[2.8977520925E10, 2.8977520974E10]
g3(702.0, 284.0)@[4.2869409238E10, 4.2869409345E10]
g3(408.0, 649.0)@[5.881819659E10, 5.8818196647E10]
g3(723.0, 67.0)@[4.2748505397E10, 4.2748505515E10]
g3(188.0, 629.0)@[3.4801729867E10, 3.4801729975E10]
g3(838.0, 430.0)@[6.766543186E9, 6.76654323E9]
g3(897.0, 964.0)@[9.280133146E9, 9.280133205E9]
g3(918.0, 402.0)@[3.2380178563E10, 3.2380178691E10]
g3(466.0, 373.0)@[3.869145196E9, 3.869145243E9]
g3(541.0, 73.0)@[1.6854257219E10, 1.6854257275E10]
g3(670.0, 556.0)@[1.0655021854E10, 1.06550219E10]
g3(321.0, 756.0)@[4.2105245463E10, 4.2105245513E10]
g4(313.0, 124.0)@[3.053798198E9, 3.053798265E9]
g4(473.0, 448.0)@[5.254389294E9, 5.254389362E9]
g4(371.0, 393.0)@[1.6846445356E10, 1.6846445424E10]
g4(408.0, 370.0)@[6.1456409813E10, 6.1456409884E10]
g4(896.0, 230.0)@[3.7734076583E10, 3.7734076665E10]
g4(477.0, 947.0)@[2.6355843318E10, 2.6355843398E10]
g4(373.0, 542.0)@[4.6314715851E10, 4.6314715928E10]
g4(624.0, 878.0)@[1.8793008527E10, 1.8793008624E10]
g4(346.0, 761.0)@[4.9537571297E10, 4.9537571358E10]
g4(188.0, 629.0)@[3.4801729898E10, 3.4801729964E10]
g4(378.0, 610.0)@[7.39277956E9, 7.392779634E9]
g4(904.0, 872.0)@[4.576440998E9, 4.576441061E9]
g4(216.0, 168.0)@[3.4827708906E10, 3.4827708984E10]
g4(274.0, 658.0)@[4.3634614746E10, 4.3634614808E10]
g4(553.0, 369.0)@[3.1560233241E10, 3.1560233314E10]
g4(633.0, 750.0)@[2.1229200317E10, 2.1229200407E10]
g4(689.0, 140.0)@[5.9973641339E10, 5.9973641403E10]
g4(118.0, 947.0)@[5.1916592322E10, 5.19165924E10]
g4(902.0, 498.0)@[4.3181004872E10, 4.3181004937E10]
g4(509.0, 184.0)@[1.3997798904E10, 1.3997798997E10]
g4(309.0, 204.0)@[3.1276494041E10, 3.1276494117E10]
g4(924.0, 907.0)@[1.4875423447E10, 1.4875423534E10]
g4(702.0, 284.0)@[4.2869409252E10, 4.2869409312E10]
g4(410.0, 799.0)@[3.7118584307E10, 3.7118584376E10]
g4(136.0, 352.0)@[3.522203609E9, 3.522203668E9]
g4(599.0, 399.0)@[8.50947798E8, 8.50947889E8]
g4(886.0, 817.0)@[2.294537251E10, 2.2945372585E10]
g4(426.0, 95.0)@[1.5614803572E10, 1.5614803635E10]
g4(458.0, 783.0)@[1.004173268E9, 1.004173351E9]
g4(157.0, 488.0)@[4.1793241192E10, 4.1793241265E10]
g4(841.0, 540.0)@[3.7405923909E10, 3.7405923977E10]
g4(660.0, 506.0)@[2.2853495961E10, 2.2853496036E10]
g4(913.0, 558.0)@[2.1522220634E10, 2.1522220719E10]
g4(81.0, 911.0)@[5.0617421917E10, 5.0617421985E10]
g4(400.0, 658.0)@[4.109301601E10, 4.1093016065E10]
g4(723.0, 67.0)@[4.2748505425E10, 4.274850549E10]
g4(918.0, 402.0)@[3.2380178601E10, 3.238017866E10]
g4(99.0, 271.0)@[1.6765512629E10, 1.6765512707E10]
g4(731.0, 32.0)@[5.6716777539E10, 5.6716777591E10]
g4(483.0, 767.0)@[5.838305216E10, 5.8383052219E10]
g4(231.0, 764.0)@[5.0455931646E10, 5.0455931714E10]
g4(384.0, 990.0)@[1.517027918E10, 1.517027926E10]
g4(152.0, 808.0)@[4.9275856988E10, 4.9275857058E10]
g4(878.0, 78.0)@[5.0352050532E10, 5.0352050605E10]
g4(345.0, 414.0)@[4.9467749416E10, 4.9467749495E10]
g4(369.0, 794.0)@[5.5249636714E10, 5.5249636775E10]
g4(730.0, 247.0)@[3.526523464E10, 3.5265234707E10]
g4(955.0, 859.0)@[2.1332202456E10, 2.1332202529E10]
g4(101.0, 772.0)@[5.9561425348E10, 5.9561425414E10]
